"Taxa2","Boot","Buffalo","Camel","Cattle","DikDik","Donkey","Eland","Elephant","Giraffe","Grants gazelle","Grevys zebra","Hartebeest","Hippo","Impala","Kudu","Oryx","Plains zebra","Warthog"
"Haemonchus 67",100,0,0,0,0.01,0,0,0,0.01,0.02,0,0.03,0,0,0,0.01,0,0
"Haemonchus contortus 4",98,0.1,0.01,0.09,0.05,0,0,0.01,0.06,0.13,0,0.19,0.01,0.03,0.01,0.05,0,0
"Haemonchus contortus 52",94,0,0,0,0,0,0,0,0.02,0.03,0,0.04,0,0,0,0.01,0,0
"Khalilia sameera 27",100,0,0.01,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
"Murshidia 60",100,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"Murshidia africana 11",100,0,0.02,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"Murshidia linstowi 101",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murshidia linstowi 18",100,0,0.01,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0
"Murshidia linstowi 2",99,0,0.02,0,0.02,0.01,0,0.01,0.04,0,0,0.01,0.01,0.01,0,0,0,0.64
"Murshidia longicaudata 21",100,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0
"Oesophagostomum dentatum 3",100,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0.01,0,0.01,0
"Oesophagostomum radiatum 30",100,0.02,0,0.31,0.01,0,0,0,0.01,0,0,0,0,0.01,0.01,0.01,0,0
"Parapoteriostomum euproctus 19",100,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.11,0
"Quilonia africana 28",100,0,0.01,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0
"Quilonia africana 41",97,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
"Skrjabinodentus caragandicus 34",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"Skrjabinodentus caragandicus 45",97,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0
"Strongylida 12",95,0,0.02,0,0,0.01,0.01,0.12,0,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0
"Strongylida 168",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Strongylida 17",80,0.02,0.05,0,0.09,0,0,0,0.11,0.04,0,0.05,0,0.18,0,0.16,0,0
"Strongylida 23",100,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
"Strongylida 26",98,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
"Strongylida 33",89,0.01,0.03,0,0.03,0,0,0,0.03,0.02,0,0.01,0,0.06,0,0.06,0,0
"Strongylida 44",99,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"Strongylida 55",99,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"Strongylida 59",99,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"Strongylida 64",100,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0
"Strongylida 7",96,0,0.01,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.01,0
"Strongylida 71",100,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"Strongylidae 114",100,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0
"Strongylidae 43",100,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.02,0
"Strongylidae 46",100,0,0.01,0,0,0.08,0,0,0,0,0.01,0,0,0,0,0,0.04,0
"Strongylidae 51",93,0,0.01,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
"Strongylidae 6",100,0,0.01,0,0,0.08,0,0,0.01,0,0.26,0.05,0,0,0.01,0,0.13,0
"Strongylidae 66",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Strongylidae 70",100,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0
"Strongylus edentatus 31",100,0,0,0,0,0.03,0,0,0,0,0.04,0,0,0,0,0,0.06,0
"Strongylus equinus 36",100,0,0,0,0,0.01,0,0,0,0,0.07,0,0,0,0,0,0.11,0
"Strongylus vulgaris 49",98,0,0,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0,0.03,0
"Trichostrongylus 16",100,0.1,0.01,0,0.24,0,0,0,0.01,0.01,0,0.01,0,0.01,0,0,0,0
"Trichostrongylus 61",100,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0
"Trichostrongylus 69",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichostrongylus axei 37",100,0.01,0,0.07,0,0,0,0,0,0,0.02,0.08,0,0.01,0,0.04,0.01,0
"Trichostrongylus colubriformis 123",100,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0
"Trichostrongylus colubriformis 38",90,0,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0,0,0
"Trichostrongylus colubriformis 54",85,0,0,0,0,0,0,0,0.01,0,0,0,0,0.04,0,0,0,0
"Trichostrongylus probolurus 14",81,0,0.23,0,0.01,0,0,0,0.04,0.19,0,0.04,0,0.02,0,0.13,0,0
"Trichostrongylus rugatus 56",80,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0
"Trichostrongylus vitrinus 13",83,0,0.17,0,0.01,0,0,0,0.05,0.16,0,0.03,0.01,0.01,0,0.12,0,0
"Triodontophorus nipponicus 50",100,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.02,0
